arm,seed,exp,tf,gene,lfc,scored
any,0,DataSet_01_138,IKZF1,LRRC17,-0.12865,True
any,0,DataSet_01_139,POLR3A,R3HDML,-1.05335,False
any,0,DataSet_01_142,LEF1,TMEM110,0.0192,True
any,0,DataSet_01_145,REST,BRD7P3,-0.14334,True
any,0,DataSet_01_147,EHF,UBR3,-0.20747,True
any,0,DataSet_01_148,MYBL2,MIR3180-1,0.0,True
any,0,DataSet_01_149,ETS2,HGC6.3,0.08333,True
any,0,DataSet_01_150,TFAP2C,PJA1,0.37689,True
any,0,DataSet_01_151,TEAD4,MTFMT,0.05751,True
any,0,DataSet_01_153,LIN28B,EMX2OS,-0.76364,False
any,0,DataSet_01_154,STAT1,GH1,0.33917,True
any,0,DataSet_01_155,HSF1,RAB19,0.0,True
any,0,DataSet_01_156,HIF1A,NEK2,-0.26605,True
any,0,DataSet_01_162,ELK1,MBTPS2,0.0,True
any,0,DataSet_01_164,JUN,GPR44,0.0,True
any,0,DataSet_01_165,MAF,RTL1,-0.00578,True
any,0,DataSet_01_166,NFATC3,INSL3,-0.39124,True
any,0,DataSet_01_168,STAT3,GNA15,-0.46302,True
any,0,DataSet_01_169,HOXB7,TMEM129,-0.6608,True
any,0,DataSet_01_170,HOXB7,EXOC7,-0.20279,True
any,0,DataSet_01_171,FOSL1,DKK1,0.71051,True
any,0,DataSet_01_173,ESRRG,PTPRA,0.0,True
any,0,DataSet_01_175,TP53,OR13C5,0.0,True
any,0,DataSet_01_176,NR2F2,ARX,0.03569,True
any,0,DataSet_01_177,NR2F2,C13orf18,0.0,True
any,0,DataSet_01_180,STAT3,HUS1B,-0.20825,True
any,0,DataSet_01_183,TP63,SNRPD2,-0.12486,True
any,0,DataSet_01_184,STAT3,JPH2,0.11067,True
any,0,DataSet_01_185,TCF4,SHCBP1,0.0,True
any,0,DataSet_01_189,SPDEF,GATAD2B,-0.14128,True
any,0,DataSet_01_192,AR,DTWD2,0.20031,True
any,0,DataSet_01_196,TP63,SLAMF7,1.31969,True
any,0,DataSet_01_198,TP63,TEDDM1,0.0,True
any,0,DataSet_01_200,TP63,C11orf2,0.0,True
any,0,DataSet_01_203,XBP1,ATXN7L1,0.42109,True
any,0,DataSet_01_204,XBP1,PINK1,0.69469,True
any,0,DataSet_01_211,REST,GPR151,0.53772,True
any,0,DataSet_01_213,SOX11,MTRR,0.06966,True
any,0,DataSet_01_214,BCLAF1,CD207,-0.24309,True
any,0,DataSet_01_217,TAL1,SUSD2,0.21161,True
any,0,DataSet_01_218,PTEN,LOC100133461,0.0,False
any,0,DataSet_01_220,HIF1A,TMEM216,0.02472,True
any,0,DataSet_01_222,KLF9,SLC24A6,-0.42381,True
any,0,DataSet_01_223,FOXM1,PRSS1,0.0,True
any,0,DataSet_01_224,HIF1A,DNAJA4,-0.58656,True
any,0,DataSet_01_226,KLF2,SBK1,1.3017,True
any,0,DataSet_01_228,HIF1A,ATE1,0.03473,True
any,0,DataSet_01_233,FOXA1,MT1A,0.07094,True
any,0,DataSet_01_238,NFYB,KCNIP2,0.18201,True
any,0,DataSet_01_244,ETS1,ZNF853,0.0,True
any,0,DataSet_01_246,TLX1,CT45A4,0.0,True
any,0,DataSet_01_247,GATA6,VHL,0.0,True
any,0,DataSet_01_248,SMAD2,C16orf91,0.0,True
any,0,DataSet_01_255,YBX1,OR13C4,0.0,True
any,0,DataSet_01_256,YBX1,MYST1,0.05889,True
any,0,DataSet_01_257,YBX1,TMEM90B,-0.12529,True
any,0,DataSet_01_258,YBX1,FLJ41350,0.0,True
any,0,DataSet_01_260,SOX4,TNFRSF14,0.17935,True
any,0,DataSet_01_261,NFKB2,PISRT1,0.0,True
any,0,DataSet_01_267,FOXO3,TMEM132A,-0.48409,True
any,0,DataSet_01_269,SIX4,CTAGE9,0.0,True
any,0,DataSet_01_276,PTEN,RRAS,0.01226,False
any,0,DataSet_01_277,SALL4,USP38,1.01443,True
any,0,DataSet_01_280,ESRRA,AS3MT,0.40593,True
any,0,DataSet_01_281,MSX1,HMGB1,-0.55085,True
any,0,DataSet_01_282,IRF7,OR7C1,0.02022,True
any,0,DataSet_01_283,AHR,C20orf94,0.0,True
any,0,DataSet_01_293,POSTN,MERTK,0.42686,False
any,0,DataSet_01_295,TFAP4,OR4D6,0.0,True
any,0,DataSet_01_299,SOX7,S1PR3,0.21734,True
any,0,DataSet_01_300,SOX17,TUBE1,-0.00584,True
any,0,DataSet_01_301,PTEN,KHNYN,0.28672,False
any,0,DataSet_01_302,PTEN,LILRB2,-0.96524,False
any,0,DataSet_01_303,PTEN,LOC643387,0.0,False
any,0,DataSet_01_304,ETV5,WDR72,0.00642,True
any,0,DataSet_01_305,HOXA5,CSF3,0.37007,True
any,0,DataSet_01_306,NR2E1,MAP4K5,-0.10641,True
any,0,DataSet_01_308,SOX9,ASB9P1,0.0,True
any,0,DataSet_01_309,SOX9,KRT38,-0.33936,True
any,0,DataSet_01_312,TFAP2C,VCL,0.26576,True
any,0,DataSet_01_313,OVOL2,OPA3,-0.20666,False
any,0,DataSet_01_318,ELK3,H2AFY,0.37474,True
any,0,DataSet_01_324,MYC,ZNF80,0.59627,True
any,0,DataSet_01_327,TP63,NOL3,-0.30241,True
any,0,DataSet_01_330,TP63,VPS52,0.09315,True
any,0,DataSet_01_332,TOX,ADRBK1,0.0,True
any,0,DataSet_01_333,HOXC6,LOC283038,0.0,True
any,0,DataSet_01_336,GRHL3,SOCS4,-0.08552,True
any,0,DataSet_01_337,REST,RPTN,-0.05162,True
any,0,DataSet_01_338,REST,KCTD14,0.0,True
any,0,DataSet_01_339,KLF4,MAMSTR,0.04421,True
any,0,DataSet_01_340,KLF7,KLHL20,-0.13987,True
any,0,DataSet_01_342,KLF7,MIR3126,0.25156,True
any,0,DataSet_01_347,GATA3,DNAH6,0.66469,True
any,0,DataSet_01_348,HIF1A,SH3D19,-0.1498,True
any,0,DataSet_01_349,SOX2,C10orf26,0.0,True
any,0,DataSet_01_354,ELK1,KIAA1737,-0.16426,True
any,0,DataSet_01_356,ETV4,FAM86B1,0.0,True
any,0,DataSet_01_357,CDX2,REG1P,0.0,True
any,0,DataSet_01_360,SOX17,RNY5,0.0,True
any,0,DataSet_02_001,DROSHA,PTCHD1,0.0,False
any,0,DataSet_02_007,PTBP1,TTTY11,0.0,False
any,0,DataSet_02_009,POLR2G,UBE2L6,0.13022,False
any,0,DataSet_02_012,SRSF4,COL6A3,0.78294,False
any,0,DataSet_02_013,SRSF9,C4orf40,0.0,False
any,0,DataSet_02_015,HOXB9,CAMKK1,-0.2333,True
any,0,DataSet_02_016,JUND,RBFA,0.0,True
any,0,DataSet_02_018,STAT2,ZFP37,-0.38333,True
any,0,DataSet_02_023,STAT1,TUBGCP5,0.36996,True
any,0,DataSet_02_025,USF2,PI15,0.42884,True
any,0,DataSet_02_026,USF1,ZCWPW2,-0.64092,True
any,0,DataSet_02_032,NFE2L1,TBL2,-0.15466,True
any,0,DataSet_02_033,TEAD2,ADH1A,0.0,True
any,0,DataSet_02_039,RELA,C6orf203,-0.04698,True
any,0,DataSet_02_040,TEAD4,SYTL2,-2.54057,True
any,0,DataSet_02_042,SP2,C12orf42,0.0,True
any,0,DataSet_02_044,ZC3H11A,ZNF385A,0.04544,False
any,0,DataSet_02_048,SMAD5,SNORD26,0.0,True
any,0,DataSet_02_051,HDAC8,WNK1,0.76705,False
any,0,DataSet_02_053,TLE2,HIST1H2AH,-0.53869,False
any,0,DataSet_02_054,ATF3,CCT2,0.55602,True
any,0,DataSet_02_055,DLX1,MIR10A,0.0,True
any,0,DataSet_02_058,HMBOX1,ZMAT5,0.15066,False
any,0,DataSet_02_061,RFX5,HNRNPH2,0.30945,True
any,0,DataSet_02_063,TRIM28,TMEM120B,-0.2271,True
any,0,DataSet_02_071,TFDP1,IGSF11,0.49139,True
any,0,DataSet_02_075,HMGA1,SNORD114-29,0.0,True
any,0,DataSet_02_078,SIX5,DMTF1,0.17633,False
any,0,DataSet_02_079,HMGN1,LOC729603,0.0,False
any,0,DataSet_02_082,ZBTB33,GLUD2,0.0,True
any,0,DataSet_02_088,ILF2,DNAJC5G,0.28379,False
any,0,DataSet_02_090,SRSF9,TMEM176A,0.0,False
any,0,DataSet_02_091,HNRNPK,SLC35F3,-2.80735,False
any,0,DataSet_02_096,HNRNPL,CCDC125,-0.29373,False
any,0,DataSet_02_097,U2AF1,TTI1,-0.44273,False
any,0,DataSet_02_099,PSIP1,ZFR,0.09642,False
any,0,DataSet_02_100,RBM17,FAAH2,0.0,False
any,0,DataSet_02_101,RBFOX2,KRT86,0.0,False
any,0,DataSet_02_103,FIP1L1,MIR4261,0.0,False
any,0,DataSet_02_104,HDGF,PDE1C,0.0,True
any,0,DataSet_02_105,U2AF2,LMAN2,0.20589,False
any,0,DataSet_02_107,SSB,CCS,0.53653,False
any,0,DataSet_02_108,ZNF622,UBB,-0.06805,False
any,0,DataSet_02_110,GTF2F1,PPP1CB,0.16369,False
any,0,DataSet_02_111,RBM39,ARC,1.0,False
any,0,DataSet_02_114,XRCC5,SNAR-C2,0.0,False
any,0,DataSet_02_115,PCBP1,RBP4,-0.44316,False
any,0,DataSet_02_117,SUB1,COL14A1,0.16993,False
any,0,DataSet_02_120,PTBP1,NUDT9P1,0.0,False
any,0,DataSet_02_121,RBM34,MARCH7,0.0,False
any,0,DataSet_02_123,PCBP2,ANAPC1,-0.3234,False
any,0,DataSet_02_124,FUS,TUBGCP4,0.0,False
any,0,DataSet_02_126,SNRNP70,RAB11FIP5,-0.08184,False
any,0,DataSet_02_128,PRPF4,FZR1,0.0,False
any,0,DataSet_02_130,POLR2G,ADRA1B,0.0,False
any,0,DataSet_02_131,PTBP1,C17orf108,0.0,False
any,0,DataSet_02_133,SRSF7,RPUSD3,0.21829,False
any,0,DataSet_02_136,HNRNPK,CD101,0.83954,False
any,0,DataSet_02_137,PCBP1,MFSD6,0.07311,False
any,0,DataSet_02_138,RBM17,TMEM8B,0.08202,False
any,0,DataSet_02_139,RBFOX2,TXNIP,0.21449,False
any,0,DataSet_02_140,TAF15,FAM108A1,0.0,False
any,0,DataSet_02_141,RBM34,BCL3,0.32009,False
any,0,DataSet_02_144,PTBP1,MAFF,0.20898,False
any,0,DataSet_02_145,DROSHA,SPERT,0.0,False
any,0,DataSet_02_147,FIP1L1,OR1L8,0.0,False
any,0,DataSet_02_148,ILF3,BCORP1,0.0,False
any,0,DataSet_02_151,RBM39,PBRM1,-0.65504,False
any,0,DataSet_02_152,ILF2,GSTA1,0.0,False
any,0,DataSet_02_154,SRSF4,DISC2,0.0,False
any,0,DataSet_02_155,FUS,KRTAP9-4,0.0,False
any,0,DataSet_02_156,HNRNPUL1,TCERG1L,0.0,False
any,0,DataSet_02_157,GTF2F1,ZBTB8B,0.0,False
any,0,DataSet_02_158,PSIP1,CCDC155,-0.32193,False
any,0,DataSet_02_159,XRCC5,MPO,1.80735,False
any,0,DataSet_02_160,HNRNPL,RUNDC1,0.32146,False
any,0,DataSet_02_161,SUB1,EPX,0.0,False
any,0,DataSet_02_164,SSB,FAM170A,0.0,False
any,0,DataSet_02_168,RBM22,DYM,0.0,False
any,0,DataSet_02_170,U2AF2,CYR61,0.71114,False
any,0,DataSet_02_172,ZFX,TMCO4,-0.22545,True
any,0,DataSet_02_175,LMNA,DEF6,-0.1174,False
any,0,DataSet_02_185,CTCF,DIRC1,0.0,True
any,0,DataSet_02_190,RAD21,C9orf152,0.0,False
any,0,DataSet_02_192,MAX,C9orf106,0.0,True
any,0,DataSet_02_195,LMNB1,SERBP1,0.03536,False
any,0,DataSet_02_206,ZFX,FBXW12,-0.54749,True
any,0,DataSet_03_002,AKT1,SLC35F5,0.2686127,False
any,0,DataSet_03_004,AR,NCDN,1.029524,True
any,0,DataSet_03_005,AR,SULT1B1,0.2867387,True
any,0,DataSet_03_007,AR,MIR922,0.0,True
any,0,DataSet_03_013,ARID1A,SAA3P,0.0,True
any,0,DataSet_03_017,ATF3,SLURP1,0.02659652,True
any,0,DataSet_03_018,ATF4,B4GALNT2,-0.1234462,True
any,0,DataSet_03_021,BAG1,MOGAT3,0.0,False
any,0,DataSet_03_022,BATF3,LOC100499177,0.0,False
any,0,DataSet_03_026,BCL6,FBXW4P1,0.2148363,True
any,0,DataSet_03_031,CASP8AP2,LOC100287216,0.0,False
any,0,DataSet_03_035,CCNB1,KIAA1257,0.053824,False
any,0,DataSet_03_049,CEBPB,LY6G6F,0.0,True
any,0,DataSet_03_056,CTCF,SNORA51,0.0,True
any,0,DataSet_03_059,CTNNB1,SNORD116-27,0.0,True
any,0,DataSet_03_060,E2F1,OR2L13,0.05129879,True
any,0,DataSet_03_063,E2F7,PSORS1C1,0.118516,True
any,0,DataSet_03_065,EP300,WWTR1,-0.6022229,True
any,0,DataSet_03_066,ERBB2,OR7E91P,0.0,False
any,0,DataSet_03_073,ETS1,HOXC4,-0.03214286,True
any,0,DataSet_03_074,ETS1,C12orf35,0.0,True
any,0,DataSet_03_075,ETV6,MIR711,0.0,True
any,0,DataSet_03_078,FLI1,DNAJC13,0.2225869,True
any,0,DataSet_03_080,FOXA1,NEFL,0.046484,True
any,0,DataSet_03_085,FOXD1,ALOX5AP,0.01274187,True
any,0,DataSet_03_087,FOXF2,SRSF7,-0.3511369,True
any,0,DataSet_03_089,FOXK1,VARS,-0.07940833,False
any,0,DataSet_03_090,FOXM1,CCL1,0.0,True
any,0,DataSet_03_091,FOXM1,SNORA70B,0.0,True
any,0,DataSet_03_093,FOXM1,KCNQ1DN,0.04202,True
any,0,DataSet_03_096,FOXO1,ARHGAP15,-0.01179694,True
any,0,DataSet_03_100,GATA2,TRAIP,0.2265745,True
any,0,DataSet_03_108,GATA6,USP15,0.0,True
any,0,DataSet_03_110,GATA6,ARHGDIG,-0.03654097,True
any,0,DataSet_03_113,GRHL3,NEBL,-0.370784,True
any,0,DataSet_03_114,HDAC3,SNORD114-7,0.0,True
any,0,DataSet_03_116,HES6,SIRPA,0.1527448,True
any,0,DataSet_03_117,HES6,KIAA2026,0.15327,True
any,0,DataSet_03_119,HIF1A,SURF6,0.234261,True
any,0,DataSet_03_122,HINFP,SNORD62B,0.0,True
any,0,DataSet_03_123,HINFP,C3orf66,0.0,True
any,0,DataSet_03_124,HMGA1,ACTR1A,0.1885125,True
any,0,DataSet_03_127,HOXB7,C1orf68,0.2998203,True
any,0,DataSet_03_128,HOXC4,HMGA2,0.1111938,False
any,0,DataSet_03_129,HSF1,C2orf54,0.0,True
any,0,DataSet_03_143,JUN,C10orf79,0.0,True
any,0,DataSet_03_148,KLF5,EPSTI1,-0.03452045,True
any,0,DataSet_03_149,KLF5,PCDHB2,0.2855247,True
any,0,DataSet_03_150,KLF5,MIR1910,0.0,True
any,0,DataSet_03_151,KLF5,FAM182B,0.0,True
any,0,DataSet_03_155,MAFB,VWA3B,0.1416667,True
any,0,DataSet_03_165,MITF,PRPF18,-0.1215688,True
any,0,DataSet_03_168,MITF,OR5M1,0.015101,True
any,0,DataSet_03_173,MYB,UTS2D,0.1675,True
any,0,DataSet_03_178,MYC,SH3BP1,0.001568699,True
any,0,DataSet_03_189,NCOA1,C9orf53,0.0,True
any,0,DataSet_03_190,NCOA2,APEH,0.0,True
any,0,DataSet_03_191,NCOA3,TACSTD2,0.0,True
any,0,DataSet_03_192,NCOR1,KCTD20,-0.09632697,True
any,0,DataSet_03_199,NMI,AVPR2,0.552374,False
any,0,DataSet_03_200,NPAT,LOC646851,0.0,False
any,0,DataSet_03_201,NPAT,IFNA13,0.188202,False
any,0,DataSet_03_202,NR2F2,L3MBTL3,-0.2506046,True
any,0,DataSet_03_205,PARK7,KRTAP5-6,0.0,True
any,0,DataSet_03_207,PBX1,GALNT13,-0.133527,True
any,0,DataSet_03_208,PBX1,LRRK1,-0.1378537,True
any,0,DataSet_03_209,PBX1,LXN,-0.3061135,True
any,0,DataSet_03_211,PHB,ZNF223,-0.1595556,False
any,0,DataSet_03_214,PPARG,PPP1R16B,0.33,True
any,0,DataSet_03_217,PRRX1,SELM,-0.650173,True
any,0,DataSet_03_220,RBL2,ACPP,-0.1548137,False
any,0,DataSet_03_221,RCHY1,FUT6,0.0,False
any,0,DataSet_03_222,RELA,ZNF471,-0.2142857,True
any,0,DataSet_03_223,RELA,FAM129C,0.09404762,True
any,0,DataSet_03_225,RELB,MEPCE,-0.0951175,True
any,0,DataSet_03_228,REST,SYT16,0.1547657,True
any,0,DataSet_03_229,SATB1,ORAI1,-0.07950555,True
any,0,DataSet_03_232,SKP2,THBD,-0.03880433,False
any,0,DataSet_03_235,SMARCA4,CES5A,0.0,True
any,0,DataSet_03_236,SMARCC1,METT11D1,0.0,True
any,0,DataSet_03_237,SOX11,OR6C74,0.3074811,True
any,0,DataSet_03_238,SOX11,GSS,0.1663205,True
any,0,DataSet_03_239,SOX11,MUC12,0.03045459,True
any,0,DataSet_03_241,SOX2,ZNF792,-0.1435741,True
any,0,DataSet_03_242,SOX2,RFNG,-0.1172767,True
any,0,DataSet_03_244,SOX2,GAS6,0.362926,True
any,0,DataSet_03_246,SOX4,BAZ1A,-0.1116065,True
any,0,DataSet_03_249,SP1,COG2,0.06231932,True
any,0,DataSet_03_251,SP1,FAM162B,-0.3714899,True
any,0,DataSet_03_253,SPIB,TGIF2,-0.013495,True
any,0,DataSet_03_255,SSRP1,FAM151A,0.0,True
any,0,DataSet_03_256,STAT1,SMOX,-0.1340027,True
any,0,DataSet_03_258,STAT3,FAM182A,1.715387,True
any,0,DataSet_03_259,STAT3,PHPT1,0.1380097,True
any,0,DataSet_03_260,STAT3,MIR221,0.0,True
any,0,DataSet_03_261,STAT3,WRNIP1,-0.3683292,True
any,0,DataSet_03_262,STAT3,MRPL9,0.0,True
any,0,DataSet_03_264,STAT6,TTTY7,-0.5474878,True
any,0,DataSet_03_267,TCF7L1,YDJC,0.01398813,True
any,0,DataSet_03_271,TET2,RNF5,0.075915,False
any,0,DataSet_03_273,TET3,OR4A5,-0.123525,False
any,0,DataSet_03_274,TFAP2C,SVIL,0.5979056,True
any,0,DataSet_03_275,TFE3,ZNF846,0.0,True
any,0,DataSet_03_277,TP53,EFNB1,-0.07785267,True
any,0,DataSet_03_284,TWIST2,MPP6,-0.05725545,True
any,0,DataSet_03_287,ZHX2,CCDC162,0.0,True
any,0,DataSet_03_294,ZNF750,C20orf27,0.6594975,False
any,0,DataSet_04_002,CDC5L,PIH1D2,-0.6966079,False
any,0,DataSet_04_003,CHCHD3,ARRDC1,0.1332436,False
any,0,DataSet_04_004,CIZ1,PTPRK,1.0,False
any,0,DataSet_04_006,DDX59,SNORD109B,0.0,False
any,0,DataSet_04_010,FUBP1,CHD4,-0.4544802,False
any,0,DataSet_04_011,FUBP3,PLXNB2,-0.1264417,False
any,0,DataSet_04_012,MARK2,IRX4,0.0,False
any,0,DataSet_04_015,NKRF,TMEM185B,0.0,True
any,0,DataSet_04_016,NUP35,TRAP1,0.1614371,False
any,0,DataSet_04_018,RPS3,MYH7B,-1.561879,False
any,0,DataSet_04_019,SMAD2,MOSC2,0.0,True
any,0,DataSet_04_020,SMAD4,PSRC1,-0.07975153,True
any,0,DataSet_04_022,STAT1,MYLK4,0.5145732,True
any,0,DataSet_04_024,YBX1,RNF145,0.01149055,True
any,0,DataSet_04_026,ANXA2,CRY1,0.1903653,False
any,0,DataSet_04_028,CIZ1,SF3B2,-0.1107814,False
any,0,DataSet_04_032,FUBP1,MIR21,0.0,False
any,0,DataSet_04_036,SMAD2,RPL13AP5,-0.02164421,True
any,0,DataSet_04_037,SMAD4,MIR181B2,0.0,True
any,0,DataSet_04_039,SRPK2,FRS3,-0.1566892,False
any,0,DataSet_04_041,YBX1,C15orf60,0.0,True
any,1,DataSet_01_006,PROX1,LOC606724,0.0,True
any,1,DataSet_01_007,NR2F2,MFAP2,0.11507,True
any,1,DataSet_01_008,WT1,RPRD1B,0.02764,True
any,1,DataSet_01_010,TP53,VWA3B,-0.32052,True
any,1,DataSet_01_011,TP53,ANXA8L1,0.0,True
any,1,DataSet_01_012,FLI1,CCDC80,0.0,True
any,1,DataSet_01_013,FLI1,SNORD115-11,0.0,True
any,1,DataSet_01_014,FLI1,VPS37D,0.0,True
any,1,DataSet_01_015,FLI1,EIF2AK3,0.87776,True
any,1,DataSet_01_016,FLI1,GABRP,0.0,True
any,1,DataSet_01_017,ERG,TBC1D10B,0.02667,True
any,1,DataSet_01_018,YY1,KPRP,0.0,True
any,1,DataSet_01_021,STAT1,FAM175A,-0.0925,True
any,1,DataSet_01_025,MITF,SNORD32B,0.0,True
any,1,DataSet_01_026,PAX3,EPB49,0.0,True
any,1,DataSet_01_027,PAX3,KDM6B,0.277,True
any,1,DataSet_01_029,ATM,PABPC1P2,0.0,False
any,1,DataSet_01_030,RELA,MIR598,0.0,True
any,1,DataSet_01_031,TP53,C14orf156,0.0,True
any,1,DataSet_01_033,ATF3,AMN1,-0.51264,True
any,1,DataSet_01_034,EGR3,TAF4,-0.22408,True
any,1,DataSet_01_036,ETV1,RPL34,-0.26486,True
any,1,DataSet_01_037,TP53,SPAG11A,-0.74427,True
any,1,DataSet_01_038,TP53,MIR3944,0.0,True
any,1,DataSet_01_042,POU5F1,SNORA39,0.0,True
any,1,DataSet_01_043,CBFB,GNL3L,0.01131,False
any,1,DataSet_01_044,MYB,LOC100287718,0.0,True
any,1,DataSet_01_045,PRDM14,SIDT1,0.16163,False
any,1,DataSet_01_049,STAT3,C8orf74,0.0,True
any,1,DataSet_01_051,RARA,FOXD4,0.0,True
any,1,DataSet_01_053,TFAP2C,C9orf100,0.0,True
any,1,DataSet_01_058,BACH1,LOC100289230,0.1542,True
any,1,DataSet_01_059,BACH1,ZNF234,0.0,True
any,1,DataSet_01_060,NFE2L2,CAPZA2,-0.78075,True
any,1,DataSet_01_068,TP53,IGFL2,0.95039,True
any,1,DataSet_01_071,ELF5,KCNAB2,-0.0866,True
any,1,DataSet_01_073,ZNF148,TNNI2,-0.00899,True
any,1,DataSet_01_074,CEBPD,CXADRP3,0.0,True
any,1,DataSet_01_075,CEBPZ,MAS1L,0.18213,True
any,1,DataSet_01_076,ETS1,ETNK2,-0.55888,True
any,1,DataSet_01_077,FOXM1,AHNAK2,-0.37067,True
any,1,DataSet_01_078,HSF2,RP2,-0.12905,True
any,1,DataSet_01_079,MITF,BAG3,-0.81638,True
any,1,DataSet_01_080,RELA,FAM75A3,0.0,True
any,1,DataSet_01_081,SP1,MAOB,-0.39766,True
any,1,DataSet_01_082,SP100,LRP4,0.36208,False
any,1,DataSet_01_083,STAT1,C5orf52,0.0,True
any,1,DataSet_01_084,STAT3,ZNF358,-0.27989,True
any,1,DataSet_01_085,STAT6,RNU5E,0.0,True
any,1,DataSet_01_086,HIF1A,XYLT2,0.1672,True
any,1,DataSet_01_088,FOXP1,C17orf59,0.05007,True
any,1,DataSet_01_089,NR2F2,RALGPS1,0.16554,True
any,1,DataSet_01_090,NR2F2,FGFR3,0.20404,True
any,1,DataSet_01_091,ETV6,MIR4312,0.0,True
any,1,DataSet_01_094,NANOG,TTTY19,0.0,True
any,1,DataSet_01_095,POU5F1,FAM3C,-0.24676,True
